Date,Time,V,I,PF,KW,ENERGY,TOTAL ENERGY
9/2/2014,1:00:00 PM,249.2074,155.4582227,0.684,67.10,33.55,836.53
9/2/2014,1:30:00 PM,249.1266,152.5715831,0.708,65.83,32.92,869.44
9/2/2014,2:00:00 PM,248.8539,142.9184749,0.696,61.60,30.80,900.24
9/2/2014,2:30:00 PM,249.571,137.19963,0.696,59.31,29.65,929.90
9/2/2014,3:00:00 PM,248.6317,121.3338303,0.696,52.25,26.13,956.02
9/2/2014,3:30:00 PM,248.5913,117.6089453,0.684,50.64,25.32,981.34
9/2/2014,4:00:00 PM,248.6721,102.1592573,0.696,44.00,22.00,1003.34
9/2/2014,4:30:00 PM,249.672,86.95655503,0.696,37.60,18.80,1022.14
9/2/2014,5:00:00 PM,248.5711,51.10038344,0.696,22.00,11.00,1033.14
9/2/2014,5:30:00 PM,248.5105,50.74114235,0.708,21.84,10.92,1044.06
9/2/2014,6:00:00 PM,248.5004,31.94682615,0.696,13.75,6.88,1050.94
9/2/2014,6:30:00 PM,248.46,13.1393119,0.708,5.65,2.83,1053.76
9/2/2014,7:00:00 PM,248.4398,6.390923738,0.708,2.75,1.38,1055.14
9/2/2014,7:30:00 PM,248.3792,3.420157246,0.732,1.47,0.74,1055.87
9/2/2014,8:00:00 PM,0,0,0,0.00,0.00,1055.87
9/2/2014,8:30:00 PM,0,0,0,0.00,0.00,1055.87
9/2/2014,9:00:00 PM,0,0,0,0.00,0.00,1055.87
9/2/2014,9:30:00 PM,0,0,0,0.00,0.00,1055.87
9/2/2014,10:00:00 PM,0,0,0,0.00,0.00,1055.87
9/2/2014,10:30:00 PM,0,0,0,0.00,0.00,1055.87
9/2/2014,11:00:00 PM,0,0,0,0.00,0.00,1055.87
9/2/2014,11:30:00 PM,0,0,0,0.00,0.00,1055.87
9/3/2014,12:00:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,12:30:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,1:00:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,1:30:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,2:00:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,2:30:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,3:00:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,3:30:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,4:00:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,4:30:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,5:00:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,5:30:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,6:00:00 AM,0,0,0,0.00,0.00,1055.87
9/3/2014,6:30:00 AM,246.855312,14.75614196,0.7776,6.31,3.15,1059.03
9/3/2014,7:00:00 AM,247.47525,30.79599723,0.8064,13.20,6.60,1065.63
9/3/2014,7:30:00 AM,246.845313,69.07002706,0.792,29.53,14.76,1080.39
9/3/2014,8:00:00 AM,246.9753,84.86042759,0.7776,36.30,18.15,1098.54
9/3/2014,8:30:00 AM,246.645333,105.4692483,0.7776,45.06,22.53,1121.07
9/3/2014,9:00:00 AM,246.715326,123.563416,0.7632,52.80,26.40,1147.47
9/3/2014,9:30:00 AM,246.695328,152.4448159,0.7632,65.14,32.57,1180.04
9/3/2014,10:00:00 AM,246.825315,162.104715,0.7632,69.30,34.65,1214.69
9/3/2014,10:30:00 AM,246.77532,180.7546229,0.7632,77.26,38.63,1253.32
9/3/2014,11:00:00 AM,247.07529,186.6173871,0.8064,79.86,39.93,1293.25
9/3/2014,11:30:00 AM,246.585339,191.7311897,0.7776,81.89,40.94,1334.19
9/3/2014,12:00:00 PM,246.645333,191.7012437,0.8064,81.89,40.95,1375.14
9/3/2014,12:30:00 PM,247.17528,191.3195368,0.792,81.91,40.95,1416.09
9/3/2014,1:00:00 PM,246.715326,188.4342094,0.8208,80.52,40.26,1456.35
9/3/2014,1:30:00 PM,246.635334,184.9352522,0.8496,79.00,39.50,1495.85
9/3/2014,2:00:00 PM,246.365361,173.234515,0.8352,73.92,36.96,1532.81
9/3/2014,2:30:00 PM,247.07529,166.3025818,0.8352,71.17,35.58,1568.39
9/3/2014,3:00:00 PM,246.145383,147.0713094,0.8352,62.70,31.35,1599.74
9/3/2014,3:30:00 PM,246.105387,142.5562974,0.8208,60.77,30.38,1630.13
9/3/2014,4:00:00 PM,246.185379,123.8294028,0.8352,52.80,26.40,1656.53
9/3/2014,4:30:00 PM,247.17528,105.4018849,0.8352,45.12,22.56,1679.09
9/3/2014,5:00:00 PM,246.085389,61.93985871,0.8352,26.40,13.20,1692.29
9/3/2014,5:30:00 PM,246.025395,61.50441497,0.8496,26.21,13.10,1705.39
9/3/2014,6:00:00 PM,246.015396,38.72342563,0.8352,16.50,8.25,1713.64
9/3/2014,6:30:00 PM,245.9754,15.92643867,0.8496,6.79,3.39,1717.03
9/3/2014,7:00:00 PM,245.955402,7.746574228,0.8496,3.30,1.65,1718.68
9/3/2014,7:30:00 PM,245.895408,4.145645147,0.73932,1.77,0.88,1719.57
9/3/2014,8:00:00 PM,0,0,0,0.00,0.00,1719.57
9/3/2014,8:30:00 PM,0,0,0,0.00,0.00,1719.57
9/3/2014,9:00:00 PM,0,0,0,0.00,0.00,1719.57
9/3/2014,9:30:00 PM,0,0,0,0.00,0.00,1719.57
9/3/2014,10:00:00 PM,0,0,0,0.00,0.00,1719.57
9/3/2014,10:30:00 PM,0,0,0,0.00,0.00,1719.57
9/3/2014,11:00:00 PM,0,0,0,0.00,0.00,1719.57
9/3/2014,11:30:00 PM,0,0,0,0.00,0.00,1719.57
9/4/2014,12:00:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,12:30:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,1:00:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,1:30:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,2:00:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,2:30:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,3:00:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,3:30:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,4:00:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,4:30:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,5:00:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,5:30:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,6:00:00 AM,0,0,0,0.00,0.00,1719.57
9/4/2014,6:30:00 AM,245.7691486,13.33922034,0.785376,5.68,2.84,1722.41
9/4/2014,7:00:00 AM,246.3863589,27.83888862,0.814464,11.88,5.94,1728.35
9/4/2014,7:30:00 AM,245.7591936,62.43775046,0.79992,26.58,13.29,1741.63
9/4/2014,8:00:00 AM,245.8886087,76.71191726,0.785376,32.67,16.34,1757.97
9/4/2014,8:30:00 AM,245.5600935,95.34182748,0.785376,40.55,20.27,1778.24
9/4/2014,9:00:00 AM,245.6297786,111.698548,0.770832,47.52,23.76,1802.00
9/4/2014,9:30:00 AM,245.6098686,137.8066837,0.770832,58.62,29.31,1831.32
9/4/2014,10:00:00 AM,245.7392836,146.5390152,0.770832,62.37,31.19,1862.50
9/4/2014,10:30:00 AM,245.6895086,163.3981123,0.770832,69.53,34.77,1897.27
9/4/2014,11:00:00 AM,245.9881587,168.6979192,0.814464,71.87,35.94,1933.20
9/4/2014,11:30:00 AM,245.5003635,173.3206817,0.785376,73.70,36.85,1970.05
9/4/2014,12:00:00 PM,245.5600935,173.2936112,0.814464,73.70,36.85,2006.90
9/4/2014,12:30:00 PM,246.0877088,172.9485568,0.79992,73.71,36.86,2043.76
9/4/2014,1:00:00 PM,245.6297786,170.3402857,0.829008,72.47,36.23,2079.99
9/4/2014,1:30:00 PM,245.5501385,167.1773071,0.858096,71.10,35.55,2115.54
9/4/2014,2:00:00 PM,245.2813534,156.600104,0.843552,66.53,33.26,2148.81
9/4/2014,2:30:00 PM,245.9881587,150.3337923,0.843552,64.05,32.02,2180.83
9/4/2014,3:00:00 PM,245.0623433,132.9491548,0.843552,56.43,28.22,2209.05
9/4/2014,3:30:00 PM,245.0225233,128.8676854,0.829008,54.69,27.34,2236.39
9/4/2014,4:00:00 PM,245.1021633,111.9389941,0.843552,47.52,23.76,2260.15
9/4/2014,4:30:00 PM,246.0877088,95.2809325,0.843552,40.61,20.31,2280.46
9/4/2014,5:00:00 PM,245.0026133,55.99223869,0.843552,23.76,11.88,2292.34
9/4/2014,5:30:00 PM,244.9428833,55.59860734,0.858096,23.59,11.79,2304.13
9/4/2014,6:00:00 PM,244.9329283,35.00510553,0.843552,14.85,7.43,2311.56
9/4/2014,6:30:00 PM,244.8931082,14.39714223,0.858096,6.11,3.05,2314.61
9/4/2014,7:00:00 PM,244.8731982,7.002728812,0.858096,2.97,1.49,2316.10
9/4/2014,7:30:00 PM,244.8134682,3.74756994,0.7467132,1.59,0.79,2316.89
9/4/2014,8:00:00 PM,0,0,0,0.00,0.00,2316.89
9/4/2014,8:30:00 PM,0,0,0,0.00,0.00,2316.89
9/4/2014,9:00:00 PM,0,0,0,0.00,0.00,2316.89
9/4/2014,9:30:00 PM,0,0,0,0.00,0.00,2316.89
9/4/2014,10:00:00 PM,0,0,0,0.00,0.00,2316.89
9/4/2014,10:30:00 PM,0,0,0,0.00,0.00,2316.89
9/4/2014,11:00:00 PM,0,0,0,0.00,0.00,2316.89
9/4/2014,11:30:00 PM,0,0,0,0.00,0.00,2316.89
9/5/2014,12:00:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,12:30:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,1:00:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,1:30:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,2:00:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,2:30:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,3:00:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,3:30:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,4:00:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,4:30:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,5:00:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,5:30:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,6:00:00 AM,0,0,0,0.00,0.00,2316.89
9/5/2014,6:30:00 AM,248.7183784,12.52199538,0.79322976,5.39,2.70,2319.59
9/5/2014,7:00:00 AM,249.3429952,26.13334406,0.82260864,11.29,5.64,2325.23
9/5/2014,7:30:00 AM,248.7083039,58.61251278,0.8079192,25.25,12.62,2337.85
9/5/2014,8:00:00 AM,248.839272,72.0121753,0.79322976,31.04,15.52,2353.37
9/5/2014,8:30:00 AM,248.5068147,89.50072738,0.79322976,38.52,19.26,2372.63
9/5/2014,9:00:00 AM,248.5773359,104.8553563,0.77854032,45.14,22.57,2395.21
9/5/2014,9:30:00 AM,248.557187,129.3639817,0.77854032,55.69,27.85,2423.05
9/5/2014,10:00:00 AM,248.688155,137.5613285,0.77854032,59.25,29.63,2452.68
9/5/2014,10:30:00 AM,248.6377827,153.387556,0.77854032,66.05,33.03,2485.70
9/5/2014,11:00:00 AM,248.9400166,158.3626712,0.82260864,68.28,34.14,2519.84
9/5/2014,11:30:00 AM,248.4463679,162.702221,0.79322976,70.01,35.01,2554.85
9/5/2014,12:00:00 PM,248.5068147,162.676809,0.82260864,70.02,35.01,2589.86
9/5/2014,12:30:00 PM,249.0407613,162.3528942,0.8079192,70.03,35.01,2624.87
9/5/2014,1:00:00 PM,248.5773359,159.9044184,0.83729808,68.84,34.42,2659.30
9/5/2014,1:30:00 PM,248.4967402,156.9352192,0.86667696,67.54,33.77,2693.07
9/5/2014,2:00:00 PM,248.2247297,147.0060265,0.85198752,63.20,31.60,2724.67
9/5/2014,2:30:00 PM,248.9400166,141.1236192,0.85198752,60.85,30.42,2755.09
9/5/2014,3:00:00 PM,248.0030914,124.8040484,0.85198752,53.61,26.80,2781.90
9/5/2014,3:30:00 PM,247.9627936,120.9726296,0.83729808,51.95,25.98,2807.87
9/5/2014,4:00:00 PM,248.0433893,105.0810715,0.85198752,45.14,22.57,2830.45
9/5/2014,4:30:00 PM,249.0407613,89.44356312,0.85198752,38.58,19.29,2849.74
9/5/2014,5:00:00 PM,247.9426446,52.56188415,0.85198752,22.57,11.29,2861.02
9/5/2014,5:30:00 PM,247.8821979,52.19236855,0.86667696,22.41,11.20,2872.23
9/5/2014,6:00:00 PM,247.8721234,32.86052397,0.85198752,14.11,7.05,2879.28
9/5/2014,6:30:00 PM,247.8318255,13.51510387,0.86667696,5.80,2.90,2882.18
9/5/2014,7:00:00 PM,247.8116766,6.573707877,0.86667696,2.82,1.41,2883.59
9/5/2014,7:30:00 PM,247.7512298,3.517975734,0.754180332,1.51,0.75,2884.35
9/5/2014,8:00:00 PM,0,0,0,0.00,0.00,2884.35
9/5/2014,8:30:00 PM,0,0,0,0.00,0.00,2884.35
9/5/2014,9:00:00 PM,0,0,0,0.00,0.00,2884.35
9/5/2014,9:30:00 PM,0,0,0,0.00,0.00,2884.35
9/5/2014,10:00:00 PM,0,0,0,0.00,0.00,2884.35
9/5/2014,10:30:00 PM,0,0,0,0.00,0.00,2884.35
9/5/2014,11:00:00 PM,0,0,0,0.00,0.00,2884.35
9/5/2014,11:30:00 PM,0,0,0,0.00,0.00,2884.35
9/6/2014,12:00:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,12:30:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,1:00:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,1:30:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,2:00:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,2:30:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,3:00:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,3:30:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,4:00:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,4:30:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,5:00:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,5:30:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,6:00:00 AM,0,0,0,0.00,0.00,2884.35
9/6/2014,6:30:00 AM,249.2904307,8.120619569,0.769432867,3.51,1.75,2886.10
9/6/2014,7:00:00 AM,249.9164841,16.94769394,0.797930381,7.34,3.67,2889.77
9/6/2014,7:30:00 AM,249.280333,38.01070868,0.783681624,16.41,8.21,2897.97
9/6/2014,8:00:00 AM,249.4116023,46.70050279,0.769432867,20.17,10.09,2908.06
9/6/2014,8:30:00 AM,249.0783803,58.04197625,0.769432867,25.04,12.52,2920.58
9/6/2014,9:00:00 AM,249.1490638,67.99958256,0.75518411,29.34,14.67,2935.25
9/6/2014,9:30:00 AM,249.1288685,83.89363277,0.75518411,36.20,18.10,2953.35
9/6/2014,10:00:00 AM,249.2601378,89.20968124,0.75518411,38.51,19.26,2972.61
9/6/2014,10:30:00 AM,249.2096496,99.47312325,0.75518411,42.94,21.47,2994.08
9/6/2014,11:00:00 AM,249.5125787,102.6995274,0.797930381,44.38,22.19,3016.27
9/6/2014,11:30:00 AM,249.0177945,105.513762,0.769432867,45.51,22.75,3039.02
9/6/2014,12:00:00 PM,249.0783803,105.4972821,0.797930381,45.51,22.76,3061.78
9/6/2014,12:30:00 PM,249.613555,105.2872206,0.783681624,45.52,22.76,3084.54
9/6/2014,1:00:00 PM,249.1490638,103.6993634,0.812179138,44.75,22.37,3106.91
9/6/2014,1:30:00 PM,249.0682827,101.7738127,0.840676651,43.90,21.95,3128.86
9/6/2014,2:00:00 PM,248.7956465,95.33464752,0.826427894,41.08,20.54,3149.40
9/6/2014,2:30:00 PM,249.5125787,91.51985684,0.826427894,39.55,19.78,3169.18
