Date,Time,Profile value
9/4/2014,8:00:00 AM,17.48
9/4/2014,8:30:00 AM,21.12
9/4/2014,9:00:00 AM,19.92
9/4/2014,9:30:00 AM,13.6
9/4/2014,10:00:00 AM,14.52
9/4/2014,10:30:00 AM,12.36
9/4/2014,11:00:00 AM,11.76
9/4/2014,11:30:00 AM,10.08
9/4/2014,12:00:00 PM,10
9/4/2014,12:30:00 PM,10.04
9/4/2014,1:00:00 PM,7.84
9/4/2014,1:30:00 PM,8.28
9/4/2014,2:00:00 PM,9.52
9/4/2014,2:30:00 PM,10.2
9/4/2014,3:00:00 PM,11.44
9/4/2014,3:30:00 PM,9.48
9/4/2014,4:00:00 PM,9.28
9/4/2014,4:30:00 PM,6.76
9/4/2014,5:00:00 PM,6
9/4/2014,5:30:00 PM,7.36
9/4/2014,6:00:00 PM,8.96
9/4/2014,6:30:00 PM,5.96
9/4/2014,7:00:00 PM,7.36
9/4/2014,7:30:00 PM,6.04
9/4/2014,8:00:00 PM,6.76
9/4/2014,8:30:00 PM,5.48
9/4/2014,9:00:00 PM,6.24
9/4/2014,9:30:00 PM,5.88
9/4/2014,10:00:00 PM,6.4
9/4/2014,10:30:00 PM,5.56
9/4/2014,11:00:00 PM,6.12
9/4/2014,11:30:00 PM,5
9/5/2014,12:00:00 AM,6.12
9/5/2014,12:30:00 AM,4.48
9/5/2014,1:00:00 AM,5.92
9/5/2014,1:30:00 AM,6.2
9/5/2014,2:00:00 AM,5.32
9/5/2014,2:30:00 AM,6.4
9/5/2014,3:00:00 AM,4.4
9/5/2014,3:30:00 AM,6.28
9/5/2014,4:00:00 AM,5.08
9/5/2014,4:30:00 AM,6.12
9/5/2014,5:00:00 AM,5.4
9/5/2014,5:30:00 AM,9.48
9/5/2014,6:00:00 AM,10.6
9/5/2014,6:30:00 AM,13.4
9/5/2014,7:00:00 AM,13.92
9/5/2014,7:30:00 AM,12.72
9/5/2014,8:00:00 AM,14.4
9/5/2014,8:30:00 AM,13.8
9/5/2014,9:00:00 AM,12.28
9/5/2014,9:30:00 AM,12.56
9/5/2014,10:00:00 AM,13.48
9/5/2014,10:30:00 AM,15.32
9/5/2014,11:00:00 AM,11.52
9/5/2014,11:30:00 AM,11.32
9/5/2014,12:00:00 PM,10.92
9/5/2014,12:30:00 PM,9.24
9/5/2014,1:00:00 PM,8.16
9/5/2014,1:30:00 PM,7.72
9/5/2014,2:00:00 PM,9.64
9/5/2014,2:30:00 PM,9.76
9/5/2014,3:00:00 PM,10.56
9/5/2014,3:30:00 PM,9.08
9/5/2014,4:00:00 PM,8.92
9/5/2014,4:30:00 PM,6.2
9/5/2014,5:00:00 PM,6.2
9/5/2014,5:30:00 PM,6.92
9/5/2014,6:00:00 PM,7.2
9/5/2014,6:30:00 PM,6.12
9/5/2014,7:00:00 PM,5.92
9/5/2014,7:30:00 PM,5.28
9/5/2014,8:00:00 PM,5.44
9/5/2014,8:30:00 PM,4.92
9/5/2014,9:00:00 PM,5
9/5/2014,9:30:00 PM,4.52
9/5/2014,10:00:00 PM,4.56
9/5/2014,10:30:00 PM,4.2
9/5/2014,11:00:00 PM,4.2
9/5/2014,11:30:00 PM,4.48
9/6/2014,12:00:00 AM,4.16
9/6/2014,12:30:00 AM,7
9/6/2014,1:00:00 AM,9.48
9/6/2014,1:30:00 AM,8.8
9/6/2014,2:00:00 AM,8.84
9/6/2014,2:30:00 AM,8.6
9/6/2014,3:00:00 AM,9.36
9/6/2014,3:30:00 AM,9.6
9/6/2014,4:00:00 AM,8.04
9/6/2014,4:30:00 AM,7.64
9/6/2014,5:00:00 AM,6.44
9/6/2014,5:30:00 AM,8.56
9/6/2014,6:00:00 AM,10.16
9/6/2014,6:30:00 AM,9.4
9/6/2014,7:00:00 AM,11.92
9/6/2014,7:30:00 AM,10.76
9/6/2014,8:00:00 AM,9.24
9/6/2014,8:30:00 AM,9.92
9/6/2014,9:00:00 AM,9.44
9/6/2014,9:30:00 AM,9.08
9/6/2014,10:00:00 AM,8.96
9/6/2014,10:30:00 AM,11.32
9/6/2014,11:00:00 AM,10.24
9/6/2014,11:30:00 AM,8.24
9/6/2014,12:00:00 PM,6.6
9/6/2014,12:30:00 PM,6
9/6/2014,1:00:00 PM,5.8
9/6/2014,1:30:00 PM,6.28
9/6/2014,2:00:00 PM,8.08
9/6/2014,2:30:00 PM,9.24
9/6/2014,3:00:00 PM,9.84
9/6/2014,3:30:00 PM,9.04
9/6/2014,4:00:00 PM,8.96
9/6/2014,4:30:00 PM,8.76
9/6/2014,5:00:00 PM,7.84
9/6/2014,5:30:00 PM,9
9/6/2014,6:00:00 PM,9.08
9/6/2014,6:30:00 PM,7.68
9/6/2014,7:00:00 PM,9.2
9/6/2014,7:30:00 PM,8.8
